2024-06-15 10:55:05,933 - Authenticated successfully
2024-06-15 10:57:28,796 - Authenticated successfully
2024-06-15 11:03:00,993 - Authenticated successfully
2024-06-15 11:03:38,120 - Authenticated successfully
2024-06-15 11:09:39,686 - Authenticated successfully
2024-06-15 11:09:39,771 - Processing coordinates...
2024-06-15 11:11:43,550 - Processed coordinates: (-119.64606741573034, 37.0)
2024-06-15 11:11:45,060 - Processed coordinates: (-119.63483146067416, 37.0)
2024-06-15 11:11:45,952 - Processed coordinates: (-119.62359550561797, 37.0)
2024-06-15 11:11:46,954 - Processed coordinates: (-119.61235955056179, 37.0)
2024-06-15 11:11:48,381 - Processed coordinates: (-119.60112359550561, 37.0)
2024-06-15 11:11:49,303 - Processed coordinates: (-119.58988764044943, 37.0)
2024-06-15 11:11:50,877 - Processed coordinates: (-119.57865168539325, 37.0)
2024-06-15 11:11:52,558 - Processed coordinates: (-119.56741573033707, 37.0)
2024-06-15 11:11:53,977 - Processed coordinates: (-119.5561797752809, 37.0)
2024-06-15 11:11:55,396 - Processed coordinates: (-119.54494382022472, 37.0)
2024-06-15 11:11:56,594 - Processed coordinates: (-119.53370786516854, 37.0)
2024-06-15 11:11:57,511 - Processed coordinates: (-119.52247191011236, 37.0)
2024-06-15 11:11:58,319 - Processed coordinates: (-119.51123595505618, 37.0)
2024-06-15 11:11:59,415 - Processed coordinates: (-120.5, 36.99090909090909)
2024-06-15 11:12:01,237 - Processed coordinates: (-120.48876404494382, 36.99090909090909)
2024-06-15 11:12:02,737 - Processed coordinates: (-120.47752808988764, 36.99090909090909)
2024-06-15 11:12:03,697 - Processed coordinates: (-120.46629213483146, 36.99090909090909)
2024-06-15 11:12:05,857 - Processed coordinates: (-120.45505617977528, 36.99090909090909)
2024-06-15 11:12:06,928 - Processed coordinates: (-120.4438202247191, 36.99090909090909)
2024-06-15 11:12:07,870 - Processed coordinates: (-120.43258426966293, 36.99090909090909)
2024-06-15 11:12:08,643 - Processed coordinates: (-120.42134831460675, 36.99090909090909)
2024-06-15 11:12:10,581 - Processed coordinates: (-120.41011235955057, 36.99090909090909)
2024-06-15 11:12:11,553 - Processed coordinates: (-120.39887640449439, 36.99090909090909)
2024-06-15 11:12:13,570 - Processed coordinates: (-120.38764044943821, 36.99090909090909)
2024-06-15 11:12:15,693 - Processed coordinates: (-120.37640449438203, 36.99090909090909)
2024-06-15 11:12:17,133 - Processed coordinates: (-120.36516853932584, 36.99090909090909)
2024-06-15 11:12:19,650 - Processed coordinates: (-120.35393258426966, 36.99090909090909)
2024-06-15 11:12:20,585 - Processed coordinates: (-120.34269662921348, 36.99090909090909)
2024-06-15 11:12:22,955 - Processed coordinates: (-120.3314606741573, 36.99090909090909)
2024-06-15 11:12:24,618 - Processed coordinates: (-120.32022471910112, 36.99090909090909)
2024-06-15 11:12:25,448 - Processed coordinates: (-120.30898876404494, 36.99090909090909)
2024-06-15 11:12:26,316 - Processed coordinates: (-120.29775280898876, 36.99090909090909)
2024-06-15 11:12:28,059 - Processed coordinates: (-120.28651685393258, 36.99090909090909)
2024-06-15 11:12:30,750 - Processed coordinates: (-120.2752808988764, 36.99090909090909)
2024-06-15 11:12:31,564 - Processed coordinates: (-120.26404494382022, 36.99090909090909)
2024-06-15 11:12:32,435 - Processed coordinates: (-120.25280898876404, 36.99090909090909)
2024-06-15 11:12:36,335 - Processed coordinates: (-120.24157303370787, 36.99090909090909)
2024-06-15 11:12:38,479 - Processed coordinates: (-120.23033707865169, 36.99090909090909)
2024-06-15 11:12:39,643 - Processed coordinates: (-120.21910112359551, 36.99090909090909)
2024-06-15 11:12:41,035 - Processed coordinates: (-120.20786516853933, 36.99090909090909)
2024-06-15 11:12:42,015 - Processed coordinates: (-120.19662921348315, 36.99090909090909)
2024-06-15 11:12:44,658 - Processed coordinates: (-120.18539325842697, 36.99090909090909)
2024-06-15 11:12:46,247 - Processed coordinates: (-120.17415730337079, 36.99090909090909)
2024-06-15 11:12:47,056 - Processed coordinates: (-120.16292134831461, 36.99090909090909)
2024-06-15 11:12:48,595 - Processed coordinates: (-120.15168539325843, 36.99090909090909)
2024-06-15 11:12:49,435 - Processed coordinates: (-120.14044943820225, 36.99090909090909)
2024-06-15 11:12:50,234 - Processed coordinates: (-120.12921348314607, 36.99090909090909)
2024-06-15 11:12:51,663 - Processed coordinates: (-120.11797752808988, 36.99090909090909)
2024-06-15 11:12:52,424 - Processed coordinates: (-120.1067415730337, 36.99090909090909)
2024-06-15 11:12:53,352 - Processed coordinates: (-120.09550561797752, 36.99090909090909)
2024-06-15 11:12:55,535 - Processed coordinates: (-120.08426966292134, 36.99090909090909)
2024-06-15 11:12:58,409 - Processed coordinates: (-120.07303370786516, 36.99090909090909)
2024-06-15 11:13:03,200 - Processed coordinates: (-120.06179775280899, 36.99090909090909)
2024-06-15 11:13:04,571 - Processed coordinates: (-120.0505617977528, 36.99090909090909)
2024-06-15 11:13:05,420 - Processed coordinates: (-120.03932584269663, 36.99090909090909)
2024-06-15 11:13:06,284 - Processed coordinates: (-120.02808988764045, 36.99090909090909)
2024-06-15 11:13:07,075 - Processed coordinates: (-120.01685393258427, 36.99090909090909)
2024-06-15 11:13:08,410 - Processed coordinates: (-120.00561797752809, 36.99090909090909)
2024-06-15 11:13:12,501 - Processed coordinates: (-119.99438202247191, 36.99090909090909)
2024-06-15 11:13:13,440 - Processed coordinates: (-119.98314606741573, 36.99090909090909)
2024-06-15 11:13:14,347 - Processed coordinates: (-119.97191011235955, 36.99090909090909)
2024-06-15 11:13:16,920 - Processed coordinates: (-119.96067415730337, 36.99090909090909)
2024-06-15 11:13:18,221 - Processed coordinates: (-119.9494382022472, 36.99090909090909)
2024-06-15 11:13:19,179 - Processed coordinates: (-119.93820224719101, 36.99090909090909)
2024-06-15 11:13:20,276 - Processed coordinates: (-119.92696629213484, 36.99090909090909)
2024-06-15 11:13:21,042 - Processed coordinates: (-119.91573033707866, 36.99090909090909)
2024-06-15 11:13:21,829 - Processed coordinates: (-119.90449438202248, 36.99090909090909)
2024-06-15 11:13:22,864 - Processed coordinates: (-119.8932584269663, 36.99090909090909)
2024-06-15 11:13:24,393 - Processed coordinates: (-119.88202247191012, 36.99090909090909)
2024-06-15 11:13:26,438 - Processed coordinates: (-119.87078651685393, 36.99090909090909)
2024-06-15 11:13:27,709 - Processed coordinates: (-119.85955056179775, 36.99090909090909)
2024-06-15 11:13:29,133 - Processed coordinates: (-119.84831460674157, 36.99090909090909)
2024-06-15 11:13:29,849 - Processed coordinates: (-119.83707865168539, 36.99090909090909)
2024-06-15 11:13:30,796 - Processed coordinates: (-119.82584269662921, 36.99090909090909)
2024-06-15 11:13:31,575 - Processed coordinates: (-119.81460674157303, 36.99090909090909)
2024-06-15 11:13:33,349 - Processed coordinates: (-119.80337078651685, 36.99090909090909)
2024-06-15 11:13:34,414 - Processed coordinates: (-119.79213483146067, 36.99090909090909)
2024-06-15 11:13:35,364 - Processed coordinates: (-119.78089887640449, 36.99090909090909)
2024-06-15 11:13:36,056 - Processed coordinates: (-119.76966292134831, 36.99090909090909)
2024-06-15 11:13:36,991 - Processed coordinates: (-119.75842696629213, 36.99090909090909)
2024-06-15 11:13:38,746 - Processed coordinates: (-119.74719101123596, 36.99090909090909)
2024-06-15 11:13:41,068 - Processed coordinates: (-119.73595505617978, 36.99090909090909)
2024-06-15 11:13:42,760 - Processed coordinates: (-119.7247191011236, 36.99090909090909)
2024-06-15 11:13:43,734 - Processed coordinates: (-119.71348314606742, 36.99090909090909)
2024-06-15 11:13:45,223 - Processed coordinates: (-119.70224719101124, 36.99090909090909)
2024-06-15 11:13:47,057 - Processed coordinates: (-119.69101123595506, 36.99090909090909)
2024-06-15 11:13:49,831 - Processed coordinates: (-119.67977528089888, 36.99090909090909)
2024-06-15 11:13:50,696 - Processed coordinates: (-119.6685393258427, 36.99090909090909)
2024-06-15 11:13:51,562 - Processed coordinates: (-119.65730337078652, 36.99090909090909)
2024-06-15 11:13:52,378 - Processed coordinates: (-119.64606741573034, 36.99090909090909)
2024-06-15 11:13:53,681 - Processed coordinates: (-119.63483146067416, 36.99090909090909)
2024-06-15 11:13:55,860 - Processed coordinates: (-119.62359550561797, 36.99090909090909)
2024-06-15 11:13:56,689 - Processed coordinates: (-119.61235955056179, 36.99090909090909)
2024-06-15 11:13:57,551 - Processed coordinates: (-119.60112359550561, 36.99090909090909)
2024-06-15 11:13:59,104 - Processed coordinates: (-119.58988764044943, 36.99090909090909)
2024-06-15 11:14:00,249 - Processed coordinates: (-119.57865168539325, 36.99090909090909)
2024-06-15 11:14:02,272 - Processed coordinates: (-119.56741573033707, 36.99090909090909)
2024-06-15 11:14:04,342 - Processed coordinates: (-119.5561797752809, 36.99090909090909)
2024-06-15 11:14:05,265 - Processed coordinates: (-119.54494382022472, 36.99090909090909)
2024-06-15 11:14:07,150 - Processed coordinates: (-119.53370786516854, 36.99090909090909)
2024-06-15 11:14:08,168 - Processed coordinates: (-119.52247191011236, 36.99090909090909)
2024-06-15 11:14:09,673 - Processed coordinates: (-119.51123595505618, 36.99090909090909)
2024-06-15 11:14:11,099 - Processed coordinates: (-120.5, 36.981818181818184)
2024-06-15 11:14:11,994 - Processed coordinates: (-120.48876404494382, 36.981818181818184)
2024-06-15 11:14:12,888 - Processed coordinates: (-120.47752808988764, 36.981818181818184)
2024-06-15 11:14:13,592 - Processed coordinates: (-120.46629213483146, 36.981818181818184)
2024-06-15 11:14:14,472 - Processed coordinates: (-120.45505617977528, 36.981818181818184)
2024-06-15 11:14:15,254 - Processed coordinates: (-120.4438202247191, 36.981818181818184)
2024-06-15 11:14:15,978 - Processed coordinates: (-120.43258426966293, 36.981818181818184)
2024-06-15 11:14:16,760 - Processed coordinates: (-120.42134831460675, 36.981818181818184)
2024-06-15 11:14:17,623 - Processed coordinates: (-120.41011235955057, 36.981818181818184)
2024-06-15 11:14:18,986 - Processed coordinates: (-120.39887640449439, 36.981818181818184)
2024-06-15 11:14:21,013 - Processed coordinates: (-120.38764044943821, 36.981818181818184)
2024-06-15 11:14:21,773 - Processed coordinates: (-120.37640449438203, 36.981818181818184)
2024-06-15 11:14:23,043 - Processed coordinates: (-120.36516853932584, 36.981818181818184)
2024-06-15 11:14:23,984 - Processed coordinates: (-120.35393258426966, 36.981818181818184)
2024-06-15 11:14:26,429 - Processed coordinates: (-120.34269662921348, 36.981818181818184)
2024-06-15 11:14:27,323 - Processed coordinates: (-120.3314606741573, 36.981818181818184)
2024-06-15 11:14:28,721 - Processed coordinates: (-120.32022471910112, 36.981818181818184)
2024-06-15 11:14:30,522 - Processed coordinates: (-120.30898876404494, 36.981818181818184)
2024-06-15 11:14:31,525 - Processed coordinates: (-120.29775280898876, 36.981818181818184)
2024-06-15 11:14:32,890 - Processed coordinates: (-120.28651685393258, 36.981818181818184)
2024-06-15 11:14:33,674 - Processed coordinates: (-120.2752808988764, 36.981818181818184)
2024-06-15 11:14:34,757 - Processed coordinates: (-120.26404494382022, 36.981818181818184)
2024-06-15 11:14:36,403 - Processed coordinates: (-120.25280898876404, 36.981818181818184)
2024-06-15 11:14:37,264 - Processed coordinates: (-120.24157303370787, 36.981818181818184)
2024-06-15 11:14:38,191 - Processed coordinates: (-120.23033707865169, 36.981818181818184)
2024-06-15 11:14:39,039 - Processed coordinates: (-120.21910112359551, 36.981818181818184)
2024-06-15 11:14:39,989 - Processed coordinates: (-120.20786516853933, 36.981818181818184)
2024-06-15 11:14:41,274 - Processed coordinates: (-120.19662921348315, 36.981818181818184)
2024-06-15 11:14:43,541 - Processed coordinates: (-120.18539325842697, 36.981818181818184)
2024-06-15 11:14:44,449 - Processed coordinates: (-120.17415730337079, 36.981818181818184)
2024-06-15 11:14:47,398 - Processed coordinates: (-120.16292134831461, 36.981818181818184)
2024-06-15 11:14:48,226 - Processed coordinates: (-120.15168539325843, 36.981818181818184)
2024-06-15 11:14:51,694 - Processed coordinates: (-120.14044943820225, 36.981818181818184)
2024-06-15 11:14:52,443 - Processed coordinates: (-120.12921348314607, 36.981818181818184)
2024-06-15 11:14:53,491 - Processed coordinates: (-120.11797752808988, 36.981818181818184)
2024-06-15 11:14:57,468 - Processed coordinates: (-120.1067415730337, 36.981818181818184)
2024-06-15 11:14:58,397 - Processed coordinates: (-120.09550561797752, 36.981818181818184)
2024-06-15 11:14:59,329 - Processed coordinates: (-120.08426966292134, 36.981818181818184)
2024-06-15 11:15:00,190 - Processed coordinates: (-120.07303370786516, 36.981818181818184)
2024-06-15 11:15:01,037 - Processed coordinates: (-120.06179775280899, 36.981818181818184)
2024-06-15 11:15:01,980 - Processed coordinates: (-120.0505617977528, 36.981818181818184)
2024-06-15 11:15:02,813 - Processed coordinates: (-120.03932584269663, 36.981818181818184)
2024-06-15 11:15:05,468 - Processed coordinates: (-120.02808988764045, 36.981818181818184)
2024-06-15 11:15:06,215 - Processed coordinates: (-120.01685393258427, 36.981818181818184)
2024-06-15 11:15:16,916 - Processed coordinates: (-120.00561797752809, 36.981818181818184)
2024-06-15 11:15:18,279 - Processed coordinates: (-119.99438202247191, 36.981818181818184)
2024-06-15 11:15:23,471 - Processed coordinates: (-119.98314606741573, 36.981818181818184)
2024-06-15 11:15:24,437 - Processed coordinates: (-119.97191011235955, 36.981818181818184)
2024-06-15 11:15:25,195 - Processed coordinates: (-119.96067415730337, 36.981818181818184)
2024-06-15 11:15:28,132 - Processed coordinates: (-119.9494382022472, 36.981818181818184)
2024-06-15 11:15:29,551 - Processed coordinates: (-119.93820224719101, 36.981818181818184)
2024-06-15 11:15:30,477 - Processed coordinates: (-119.92696629213484, 36.981818181818184)
2024-06-15 11:15:31,257 - Processed coordinates: (-119.91573033707866, 36.981818181818184)
2024-06-15 11:15:32,588 - Processed coordinates: (-119.90449438202248, 36.981818181818184)
2024-06-15 11:15:33,522 - Processed coordinates: (-119.8932584269663, 36.981818181818184)
2024-06-15 11:15:35,098 - Processed coordinates: (-119.88202247191012, 36.981818181818184)
2024-06-15 11:15:36,592 - Processed coordinates: (-119.87078651685393, 36.981818181818184)
2024-06-15 11:15:37,995 - Processed coordinates: (-119.85955056179775, 36.981818181818184)
2024-06-15 11:15:39,025 - Processed coordinates: (-119.84831460674157, 36.981818181818184)
2024-06-15 11:15:40,015 - Processed coordinates: (-119.83707865168539, 36.981818181818184)
2024-06-15 11:15:40,844 - Processed coordinates: (-119.82584269662921, 36.981818181818184)
2024-06-15 11:15:41,649 - Processed coordinates: (-119.81460674157303, 36.981818181818184)
2024-06-15 11:15:42,692 - Processed coordinates: (-119.80337078651685, 36.981818181818184)
2024-06-15 11:15:43,531 - Processed coordinates: (-119.79213483146067, 36.981818181818184)
2024-06-15 11:15:44,714 - Processed coordinates: (-119.78089887640449, 36.981818181818184)
2024-06-15 11:15:45,633 - Processed coordinates: (-119.76966292134831, 36.981818181818184)
2024-06-15 11:15:46,637 - Processed coordinates: (-119.75842696629213, 36.981818181818184)
2024-06-15 11:15:47,412 - Processed coordinates: (-119.74719101123596, 36.981818181818184)
2024-06-15 11:15:48,283 - Processed coordinates: (-119.73595505617978, 36.981818181818184)
2024-06-15 11:15:49,226 - Processed coordinates: (-119.7247191011236, 36.981818181818184)
2024-06-15 11:15:50,238 - Processed coordinates: (-119.71348314606742, 36.981818181818184)
2024-06-15 11:15:51,559 - Processed coordinates: (-119.70224719101124, 36.981818181818184)
2024-06-15 11:15:53,716 - Processed coordinates: (-119.69101123595506, 36.981818181818184)
2024-06-15 11:15:54,745 - Processed coordinates: (-119.67977528089888, 36.981818181818184)
2024-06-15 11:15:55,588 - Processed coordinates: (-119.6685393258427, 36.981818181818184)
2024-06-15 11:15:56,660 - Processed coordinates: (-119.65730337078652, 36.981818181818184)
2024-06-15 11:15:57,823 - Processed coordinates: (-119.64606741573034, 36.981818181818184)
2024-06-15 11:15:59,665 - Processed coordinates: (-119.63483146067416, 36.981818181818184)
2024-06-15 11:16:03,112 - Processed coordinates: (-119.62359550561797, 36.981818181818184)
